conta_id,cliente_id,tipo_conta,status_conta,data_abertura,data_encerramento,agencia_codigo,conta_numero,canal_abertura,pacote_tarifario,saldo_atual,limite_credito,possui_cartao,possui_cheque_especial,indicador_salario,indicador_investimento,ultima_movimentacao_data
CTA000030,CLI000019,salario,encerrada,2024-05-20,2025-02-24,4351,229009-0,gerente,isento,51633.58,34509.40,true,false,true,false,2025-02-24
CTA000031,CLI000019,corrente,ativa,2024-03-13,,9618,141290-3,parceiro,basico,27933.35,63015.40,true,false,false,false,2026-03-03
CTA000032,CLI000020,corrente,ativa,2020-03-20,,1725,251194-1,agencia,basico,58508.68,87089.88,true,true,false,false,2026-02-13
CTA000033,CLI000020,premium,bloqueada,2020-06-25,,4816,545304-9,gerente,premium,60239.43,70116.14,true,false,false,false,2026-01-03
CTA000034,CLI000021,investimento,ativa,2018-09-21,,8241,605292-4,parceiro,isento,745403.31,98099.74,false,false,false,true,2026-03-24
CTA000035,CLI000021,salario,ativa,2018-11-02,,8543,308084-8,agencia,isento,133935.07,79803.15,true,false,true,false,2026-01-15
CTA000036,CLI000021,investimento,ativa,2018-11-26,,7725,977931-0,gerente,isento,375407.81,30154.72,false,false,false,true,2026-02-19
CTA000037,CLI000022,premium,encerrada,2022-01-11,2022-10-14,0952,946632-9,gerente,premium,57293.00,20445.75,true,false,false,false,2022-10-14
CTA000038,CLI000022,premium,ativa,2021-10-25,,6888,848981-2,agencia,premium,44878.02,33782.68,true,true,false,false,2026-03-06
CTA000039,CLI000022,investimento,ativa,2021-12-23,,5255,852743-8,app,isento,51180.57,13852.74,false,false,false,true,2026-01-10
CTA000040,CLI000023,corrente,encerrada,2024-03-09,2025-10-06,4318,120613-1,gerente,basico,72764.85,61732.38,true,false,false,false,2025-10-06
CTA000041,CLI000023,corrente,ativa,2023-12-22,,9250,245084-9,app,basico,58328.62,18971.98,true,false,false,false,2026-02-15
CTA000042,CLI000024,investimento,ativa,2026-08-03,,1445,498891-0,agencia,isento,382233.36,28759.95,false,false,false,true,2026-03-12
CTA000043,CLI000024,corrente,ativa,2026-08-29,,6924,684291-3,agencia,basico,47434.67,30241.27,true,true,false,false,2026-03-22
CTA000044,CLI000025,corrente,ativa,2019-01-24,,0121,614659-7,gerente,basico,80413.45,44778.88,true,true,false,false,2026-03-03
CTA000045,CLI000025,investimento,encerrada,2018-11-18,2019-10-26,7844,315643-3,app,isento,376799.58,98100.66,false,false,false,true,2019-10-26
CTA000046,CLI000026,corrente,ativa,2020-10-30,,9925,285678-3,app,basico,47218.77,28012.91,true,false,false,false,2026-01-03
CTA000047,CLI000027,investimento,ativa,2021-05-16,,1478,639363-5,app,isento,496575.22,112872.32,false,false,false,true,2026-03-28
CTA000048,CLI000027,premium,ativa,2021-07-20,,4864,185358-1,parceiro,premium,206731.93,49728.41,true,true,false,false,2026-01-14
CTA000049,CLI000027,corrente,ativa,2021-05-19,,1924,914675-4,agencia,basico,137882.31,188983.86,true,true,false,false,2026-03-26
CTA000050,CLI000028,investimento,encerrada,2026-06-17,2027-05-06,6967,220379-6,agencia,isento,48944.51,11480.73,false,false,false,true,2027-05-06
CTA000051,CLI000028,pj,encerrada,2026-11-03,2028-09-30,0901,351606-4,app,premium,43682.42,29061.50,true,false,false,false,2028-09-30
CTA000052,CLI000028,pj,encerrada,2026-08-22,2027-03-16,4108,130738-7,parceiro,premium,30721.30,22657.83,true,false,false,false,2027-03-16
CTA000053,CLI000029,investimento,encerrada,2022-12-05,2023-08-28,2431,618003-1,parceiro,isento,613863.14,61455.85,false,false,false,true,2023-08-28
CTA000054,CLI000030,salario,ativa,2023-07-20,,3895,615097-3,parceiro,isento,33465.89,27641.36,true,false,true,false,2026-03-28
CTA000055,CLI000030,investimento,ativa,2023-09-13,,7370,592729-1,agencia,isento,47590.09,12309.35,false,false,false,true,2026-01-02
CTA000056,CLI000031,investimento,ativa,2020-09-05,,7848,663336-9,agencia,isento,119304.14,31815.17,false,false,false,true,2026-02-10
CTA000057,CLI000031,corrente,ativa,2020-04-24,,7137,956220-6,parceiro,basico,74476.18,16138.61,true,true,false,false,2026-01-06
CTA000058,CLI000031,salario,ativa,2020-09-03,,7750,266674-1,agencia,isento,32589.39,57785.92,true,false,true,false,2026-03-19
CTA000059,CLI000032,corrente,ativa,2018-06-04,,4410,680929-6,parceiro,basico,42473.52,20729.95,true,true,false,false,2026-01-22
CTA000060,CLI000033,corrente,ativa,2024-02-25,,5951,179288-6,agencia,basico,128981.83,22610.97,true,true,false,false,2026-02-15
CTA000061,CLI000034,investimento,ativa,2019-05-20,,6104,137182-2,gerente,isento,300979.52,73678.51,false,false,false,true,2026-03-21
CTA000062,CLI000034,corrente,ativa,2019-03-24,,7794,463812-1,app,basico,43778.97,156152.20,true,false,false,false,2026-03-23
CTA000063,CLI000035,premium,ativa,2020-01-26,,2990,954955-7,gerente,premium,7316.83,2205.51,true,false,false,false,2026-01-16
CTA000064,CLI000036,investimento,bloqueada,2021-01-11,,8999,150206-2,gerente,isento,113934.33,11066.25,false,false,false,true,2026-03-22
CTA000065,CLI000036,corrente,ativa,2021-04-15,,3521,377292-3,agencia,basico,52561.15,32679.58,true,false,false,false,2026-01-25
CTA000066,CLI000036,salario,ativa,2021-05-12,,4573,420556-6,agencia,isento,-3118.81,50048.94,true,false,true,false,2026-03-22
CTA000067,CLI000037,corrente,ativa,2021-03-13,,1819,459761-1,gerente,basico,-749.15,19495.10,true,true,false,false,2026-02-24
CTA000068,CLI000037,investimento,ativa,2021-03-16,,1269,977350-6,parceiro,isento,158679.31,27889.76,false,false,false,true,2026-02-09
CTA000069,CLI000038,premium,ativa,2018-08-04,,5506,608573-5,app,premium,8163.56,21630.59,true,true,false,false,2026-02-16
CTA000070,CLI000039,salario,encerrada,2024-06-10,2026-06-10,0922,744427-1,gerente,isento,19270.41,109024.49,true,false,true,false,2026-06-10
CTA000071,CLI000039,investimento,ativa,2024-02-15,,3936,575321-7,gerente,isento,690220.48,60182.29,false,false,false,true,2026-03-21
CTA000072,CLI000039,corrente,ativa,2024-03-15,,8008,159268-2,agencia,basico,83506.39,109371.85,true,true,false,false,2026-03-28
CTA000073,CLI000040,investimento,ativa,2022-05-31,,0154,589902-5,agencia,isento,628705.20,137835.41,false,false,false,true,2026-03-02
CTA000074,CLI000040,corrente,ativa,2022-07-21,,5606,258914-4,parceiro,basico,86101.26,112734.11,true,true,false,false,2026-01-16
CTA000075,CLI000041,corrente,ativa,2020-02-13,,2940,756613-6,app,basico,27968.11,9212.20,true,false,false,false,2026-02-01
CTA000076,CLI000042,investimento,ativa,2027-01-20,,2834,177278-2,app,isento,188848.41,73382.75,false,false,false,true,2026-03-08
CTA000077,CLI000042,corrente,ativa,2027-02-26,,0685,407245-6,app,basico,63853.63,37755.70,true,false,false,false,2026-03-24
CTA000078,CLI000043,investimento,ativa,2019-02-07,,0464,237033-7,app,isento,46605.74,22424.34,false,false,false,true,2026-03-04
CTA000079,CLI000043,investimento,encerrada,2019-03-22,2019-10-08,0455,783281-6,parceiro,isento,72120.34,26799.96,false,false,false,true,2019-10-08
CTA000080,CLI000043,premium,ativa,2019-01-03,,3449,931579-7,app,premium,13466.46,21945.25,true,true,false,false,2026-02-03
CTA000081,CLI000044,premium,ativa,2023-06-25,,5032,110541-5,gerente,premium,41647.32,42594.14,true,true,false,false,2026-01-28
CTA000082,CLI000045,salario,ativa,2019-03-02,,8328,649676-4,app,isento,4405.79,5406.95,true,false,true,false,2026-02-17
CTA000083,CLI000046,premium,ativa,2024-07-12,,3510,835517-1,gerente,premium,31658.73,24028.35,true,false,false,false,2026-03-28
CTA000084,CLI000047,investimento,ativa,2025-05-02,,9958,413924-5,gerente,isento,85857.69,42449.94,false,false,false,true,2026-02-03
CTA000085,CLI000047,salario,ativa,2025-01-06,,1005,842968-7,app,isento,9631.30,21068.73,true,false,true,false,2026-02-17
CTA000086,CLI000047,investimento,bloqueada,2025-02-09,,0221,105325-2,agencia,isento,211980.09,24428.36,false,false,false,true,2026-01-23
CTA000087,CLI000048,investimento,bloqueada,2022-06-13,,6733,182844-2,agencia,isento,367384.75,18625.58,false,false,false,true,2026-01-09
CTA000088,CLI000049,premium,ativa,2022-05-10,,3031,576186-8,parceiro,premium,21683.06,65137.45,true,false,false,false,2026-02-11
CTA000089,CLI000049,salario,ativa,2022-03-03,,1215,618448-1,agencia,isento,79493.39,52177.01,true,false,true,false,2026-03-08
CTA000090,CLI000050,corrente,encerrada,2026-12-12,2028-07-24,0469,624476-7,agencia,basico,27872.16,64395.02,true,true,false,false,2028-07-24
CTA000091,CLI000051,corrente,encerrada,2018-08-25,2019-06-17,7379,576030-5,agencia,basico,10711.94,31951.04,true,true,false,false,2019-06-17
CTA000092,CLI000052,corrente,ativa,2021-11-15,,1095,622730-7,parceiro,basico,54596.69,18928.03,true,false,false,false,2026-02-21
CTA000093,CLI000053,corrente,ativa,2026-11-02,,8790,402771-0,gerente,basico,10419.08,8218.56,true,false,false,false,2026-03-24
CTA000094,CLI000054,pj,ativa,2025-01-23,,7059,734973-2,gerente,premium,4022.51,11349.73,true,false,false,false,2026-03-08
CTA000095,CLI000054,pj,ativa,2025-03-29,,4377,187267-7,agencia,premium,3261.03,4870.95,true,false,false,false,2026-03-11
CTA000096,CLI000055,investimento,bloqueada,2022-11-26,,1828,289930-1,gerente,isento,507710.83,90485.49,false,false,false,true,2026-01-20
CTA000097,CLI000055,investimento,ativa,2023-03-20,,6418,164235-2,gerente,isento,580035.49,91805.00,false,false,false,true,2026-01-08
CTA000098,CLI000055,salario,ativa,2022-11-24,,3190,479661-8,gerente,isento,95033.40,90414.30,true,false,true,false,2026-03-20
CTA000099,CLI000056,corrente,encerrada,2021-02-17,2021-11-30,7908,108905-2,app,basico,52406.28,33026.16,true,true,false,false,2021-11-30
CTA000100,CLI000056,corrente,encerrada,2020-10-04,2021-05-06,8157,784149-1,gerente,basico,52218.67,65616.83,true,true,false,false,2021-05-06
CTA000101,CLI000057,corrente,encerrada,2023-08-27,2025-02-12,7558,906610-9,app,basico,52508.09,63791.10,true,true,false,false,2025-02-12
CTA000102,CLI000058,investimento,ativa,2025-02-24,,3628,481169-7,app,isento,28445.81,4393.96,false,false,false,true,2026-01-11
CTA000103,CLI000059,corrente,ativa,2019-10-20,,3274,528144-7,app,basico,98529.10,31255.76,true,true,false,false,2026-03-01
CTA000104,CLI000059,premium,encerrada,2019-11-11,2020-05-27,2557,975423-4,parceiro,premium,88955.13,20069.02,true,true,false,false,2020-05-27
CTA000105,CLI000059,investimento,bloqueada,2019-09-30,,9986,857528-8,parceiro,isento,93203.40,51807.25,false,false,false,true,2026-01-12
CTA000106,CLI000060,salario,ativa,2024-09-03,,6004,490997-9,gerente,isento,44684.83,57316.31,true,false,true,false,2026-01-21
CTA000107,CLI000060,investimento,ativa,2024-09-08,,1084,687125-8,agencia,isento,241626.90,69606.31,false,false,false,true,2026-01-21
CTA000108,CLI000061,corrente,ativa,2023-06-19,,2150,255283-7,gerente,basico,27781.42,7813.85,true,false,false,false,2026-02-13
CTA000109,CLI000061,pj,ativa,2023-08-20,,0651,535884-6,parceiro,premium,22629.86,12782.87,true,false,false,false,2026-02-15
CTA000110,CLI000061,corrente,encerrada,2023-05-29,2024-05-14,2826,679684-1,gerente,basico,24922.13,12255.85,true,true,false,false,2024-05-14
CTA000111,CLI000062,corrente,ativa,2021-10-14,,0226,352415-5,gerente,basico,11906.66,6469.44,true,true,false,false,2026-03-19
CTA000112,CLI000062,pj,ativa,2021-10-01,,9202,115915-1,parceiro,premium,11218.63,11187.87,true,false,false,false,2026-01-15
CTA000113,CLI000063,corrente,ativa,2020-10-06,,8827,962537-2,gerente,basico,69836.08,26385.17,true,false,false,false,2026-01-03
CTA000114,CLI000064,salario,encerrada,2026-03-14,2027-12-20,4562,197768-3,parceiro,isento,51099.32,23969.20,true,false,true,false,2027-12-20
CTA000115,CLI000064,investimento,ativa,2026-03-10,,3204,648796-9,agencia,isento,160463.53,23463.93,false,false,false,true,2026-02-09
CTA000116,CLI000064,pj,ativa,2026-02-10,,9526,759563-9,app,premium,17456.43,10391.09,true,false,false,false,2026-02-05
CTA000117,CLI000065,corrente,ativa,2025-12-05,,8303,838349-4,gerente,basico,102700.31,36086.65,true,false,false,false,2026-03-03
CTA000118,CLI000066,corrente,encerrada,2019-01-05,2019-06-19,7027,121412-6,parceiro,basico,111451.47,34890.05,true,false,false,false,2019-06-19
CTA000119,CLI000066,corrente,ativa,2018-11-25,,6561,945280-5,parceiro,basico,35066.95,58132.32,true,false,false,false,2026-01-09
CTA000120,CLI000066,corrente,encerrada,2019-04-21,2020-08-12,6748,176559-4,parceiro,basico,119751.75,79648.28,true,false,false,false,2020-08-12
CTA000121,CLI000067,corrente,ativa,2027-03-20,,9286,124208-2,agencia,basico,45697.92,43955.26,true,false,false,false,2026-02-23
CTA000122,CLI000067,investimento,ativa,2026-12-31,,4488,382446-1,parceiro,isento,290189.53,53410.90,false,false,false,true,2026-03-03
CTA000123,CLI000068,corrente,encerrada,2025-07-23,2028-01-09,5554,686704-8,parceiro,basico,22446.05,12832.30,true,false,false,false,2028-01-09
CTA000124,CLI000069,corrente,encerrada,2022-08-25,2023-12-28,8102,227838-0,parceiro,basico,51167.49,19615.09,true,true,false,false,2023-12-28
CTA000125,CLI000069,pj,encerrada,2022-04-28,2022-09-08,5025,247416-0,parceiro,premium,30553.93,32659.64,true,false,false,false,2022-09-08
CTA000126,CLI000069,corrente,ativa,2022-04-18,,6480,813232-3,gerente,basico,46743.44,13297.29,true,false,false,false,2026-02-02
CTA000127,CLI000070,corrente,ativa,2023-05-10,,5581,826724-7,agencia,basico,29129.41,12482.97,true,true,false,false,2026-03-24
CTA000128,CLI000071,premium,ativa,2024-05-23,,9189,574650-8,parceiro,premium,85637.10,70555.52,true,false,false,false,2026-03-03
CTA000129,CLI000072,premium,ativa,2024-09-01,,2003,831695-1,agencia,premium,25287.99,13581.23,true,true,false,false,2026-01-02
CTA000130,CLI000073,salario,ativa,2023-04-06,,6464,802830-7,parceiro,isento,34171.98,11303.15,true,false,true,false,2026-03-11
CTA000131,CLI000074,investimento,ativa,2026-01-17,,8290,203688-5,agencia,isento,70290.84,25226.58,false,false,false,true,2026-02-23
CTA000132,CLI000075,investimento,ativa,2020-01-07,,0736,477006-6,parceiro,isento,502474.21,43433.13,false,false,false,true,2026-01-15
CTA000133,CLI000076,investimento,ativa,2018-06-28,,3144,784973-1,agencia,isento,42586.28,6758.08,false,false,false,true,2026-03-21
CTA000134,CLI000076,pj,ativa,2018-11-03,,0876,144859-4,parceiro,premium,21517.02,14675.70,true,false,false,false,2026-01-27
CTA000135,CLI000077,corrente,ativa,2021-09-01,,5576,965415-5,parceiro,basico,68579.89,16420.36,true,true,false,false,2026-03-12
CTA000136,CLI000077,corrente,ativa,2021-11-21,,7041,318039-9,app,basico,61427.46,61099.55,true,false,false,false,2026-02-25
CTA000137,CLI000077,salario,ativa,2021-12-05,,6032,779864-6,app,isento,45253.81,49706.68,true,false,true,false,2026-02-17
CTA000138,CLI000078,salario,encerrada,2026-10-04,2027-10-25,4228,986601-7,app,isento,81348.89,33348.12,true,false,true,false,2027-10-25
CTA000139,CLI000079,corrente,ativa,2021-07-09,,4134,145017-9,agencia,basico,8300.02,16417.17,true,false,false,false,2026-02-11
CTA000140,CLI000080,corrente,ativa,2025-03-25,,8677,218708-7,gerente,basico,8648.06,8908.19,true,false,false,false,2026-02-05
CTA000141,CLI000081,corrente,ativa,2018-10-12,,6485,637694-3,agencia,basico,4118.48,6079.57,true,false,false,false,2026-03-21
CTA000142,CLI000082,corrente,ativa,2022-08-15,,8612,981739-2,gerente,basico,-1846.16,8171.87,true,false,false,false,2026-02-17
CTA000143,CLI000082,corrente,bloqueada,2022-03-11,,7841,310644-2,parceiro,basico,6283.96,4103.50,true,true,false,false,2026-03-27
CTA000144,CLI000083,corrente,ativa,2020-02-11,,8711,344252-7,gerente,basico,99788.43,71582.36,true,false,false,false,2026-02-10
CTA000145,CLI000083,premium,encerrada,2019-12-21,2021-02-14,3349,198445-1,parceiro,premium,120147.29,29805.88,true,true,false,false,2021-02-14
CTA000146,CLI000083,salario,ativa,2020-01-05,,0320,402506-1,gerente,isento,31896.00,63329.54,true,false,true,false,2026-03-23
CTA000147,CLI000084,corrente,encerrada,2022-04-07,2023-11-24,8666,363396-1,parceiro,basico,25769.49,15723.98,true,true,false,false,2023-11-24
CTA000148,CLI000085,investimento,ativa,2021-03-05,,8607,663796-0,parceiro,isento,104200.20,12672.41,false,false,false,true,2026-02-23
CTA000149,CLI000086,corrente,ativa,2027-01-17,,0025,319319-8,agencia,basico,82947.09,74593.79,true,true,false,false,2026-03-24
CTA000150,CLI000086,corrente,ativa,2026-12-06,,4331,831103-2,parceiro,basico,41904.63,106727.99,true,true,false,false,2026-03-17
CTA000151,CLI000086,salario,encerrada,2027-01-07,2029-03-18,3548,567432-7,app,isento,106141.85,69496.87,true,false,true,false,2029-03-18
CTA000152,CLI000087,pj,encerrada,2022-05-29,2023-09-24,1331,216835-6,agencia,premium,25634.01,44285.35,true,false,false,false,2023-09-24
CTA000153,CLI000087,corrente,ativa,2022-05-17,,4249,952440-1,parceiro,basico,29888.95,40694.57,true,true,false,false,2026-01-04
CTA000154,CLI000087,corrente,encerrada,2022-10-06,2023-11-11,4099,512756-6,gerente,basico,97710.25,56839.66,true,false,false,false,2023-11-11
CTA000155,CLI000088,corrente,ativa,2023-08-06,,2191,388527-4,gerente,basico,3501.88,12223.94,true,false,false,false,2026-01-04
CTA000156,CLI000089,corrente,ativa,2021-06-18,,7168,536744-6,gerente,basico,30613.58,22966.67,true,false,false,false,2026-03-25
CTA000157,CLI000090,corrente,ativa,2024-06-17,,1480,411456-7,app,basico,100371.84,56351.83,true,true,false,false,2026-01-14
CTA000158,CLI000090,investimento,encerrada,2024-08-18,2025-02-01,1975,270907-7,parceiro,isento,152122.64,51687.69,false,false,false,true,2025-02-01
CTA000159,CLI000091,corrente,ativa,2018-08-26,,3778,197712-4,gerente,basico,2821.11,9507.18,true,true,false,false,2026-03-08
CTA000160,CLI000092,corrente,ativa,2024-10-26,,7143,859717-9,gerente,basico,9018.77,5002.64,true,true,false,false,2026-01-08
CTA000161,CLI000092,pj,ativa,2024-10-17,,5680,238566-2,gerente,premium,4962.61,17259.46,true,false,false,false,2026-01-17
CTA000162,CLI000093,investimento,ativa,2020-08-29,,6144,787838-8,parceiro,isento,89254.34,5319.14,false,false,false,true,2026-02-22
CTA000163,CLI000094,corrente,encerrada,2025-08-10,2027-10-29,1475,129623-1,gerente,basico,40123.47,41524.44,true,false,false,false,2027-10-29
CTA000164,CLI000094,corrente,ativa,2025-06-22,,5505,372211-8,gerente,basico,28611.38,32263.68,true,true,false,false,2026-03-05
CTA000165,CLI000095,salario,encerrada,2021-03-16,2023-04-09,4698,453104-4,gerente,isento,107579.69,72596.72,true,false,true,false,2023-04-09
CTA000166,CLI000096,corrente,ativa,2020-06-20,,5226,929142-3,app,basico,57145.08,66896.85,true,false,false,false,2026-01-22
CTA000167,CLI000096,corrente,ativa,2020-07-03,,0434,997102-5,parceiro,basico,21953.37,47620.27,true,false,false,false,2026-02-09
CTA000168,CLI000097,corrente,encerrada,2019-01-17,2020-04-15,0535,826315-9,app,basico,13783.55,26760.01,true,false,false,false,2020-04-15
CTA000169,CLI000097,salario,encerrada,2019-01-24,2021-06-25,8842,723355-6,agencia,isento,17505.88,55918.07,true,false,true,false,2021-06-25
CTA000170,CLI000098,investimento,ativa,2019-07-21,,8906,308954-9,app,isento,37621.78,18637.38,false,false,false,true,2026-02-20
CTA000171,CLI000099,salario,ativa,2018-07-13,,7957,825688-7,app,isento,-1890.19,14297.56,true,false,true,false,2026-01-06
CTA000172,CLI000099,corrente,encerrada,2018-04-30,2020-05-12,5775,206040-0,gerente,basico,9769.01,11828.30,true,true,false,false,2020-05-12
CTA000173,CLI000100,pj,ativa,2026-08-18,,8632,923828-0,parceiro,premium,24741.32,43920.78,true,false,false,false,2026-02-05
CTA000174,CLI000100,investimento,ativa,2026-10-09,,9170,271809-5,parceiro,isento,267735.04,26626.26,false,false,false,true,2026-03-21
CTA000175,CLI000101,premium,ativa,2025-02-26,,2644,968860-1,gerente,premium,75634.00,21730.07,true,true,false,false,2026-02-17
CTA000176,CLI000101,salario,ativa,2025-03-22,,8371,960651-0,agencia,isento,81897.30,47293.46,true,false,true,false,2026-02-12
CTA000177,CLI000102,premium,ativa,2020-05-28,,7133,416357-0,agencia,premium,69991.51,54167.58,true,true,false,false,2026-01-09
CTA000178,CLI000102,salario,ativa,2020-05-15,,9928,526743-1,agencia,isento,95919.74,54452.16,true,false,true,false,2026-02-06
CTA000179,CLI000102,investimento,encerrada,2020-07-16,2022-05-02,3616,308692-1,agencia,isento,219538.99,33222.66,false,false,false,true,2022-05-02
CTA000180,CLI000103,corrente,ativa,2018-08-19,,5321,606235-1,parceiro,basico,-14698.52,73425.09,true,false,false,false,2026-03-12
CTA000181,CLI000103,corrente,ativa,2018-09-04,,4820,901229-9,agencia,basico,142321.86,98224.17,true,true,false,false,2026-02-20
CTA000182,CLI000104,salario,ativa,2019-06-11,,4588,127808-5,parceiro,isento,30889.42,40761.24,true,false,true,false,2026-03-06
CTA000183,CLI000104,corrente,ativa,2019-05-20,,5266,842533-6,parceiro,basico,24636.59,18473.06,true,true,false,false,2026-01-08
CTA000184,CLI000104,corrente,encerrada,2019-08-28,2020-12-04,9083,254287-0,parceiro,basico,62377.48,35685.85,true,false,false,false,2020-12-04
CTA000185,CLI000105,corrente,encerrada,2019-06-01,2020-05-02,8990,790281-5,app,basico,63588.04,30971.72,true,false,false,false,2020-05-02
CTA000186,CLI000105,corrente,ativa,2019-07-13,,5669,438021-1,gerente,basico,120679.63,69540.12,true,true,false,false,2026-03-02
CTA000187,CLI000106,corrente,ativa,2026-12-17,,9438,594475-2,parceiro,basico,-9772.80,15551.08,true,true,false,false,2026-02-28
CTA000188,CLI000106,investimento,encerrada,2027-01-24,2029-01-03,1525,522286-6,agencia,isento,364475.94,39912.88,false,false,false,true,2029-01-03
CTA000189,CLI000107,corrente,encerrada,2021-11-21,2024-03-16,4991,896646-2,gerente,basico,81966.43,86534.20,true,true,false,false,2024-03-16
CTA000190,CLI000108,pj,ativa,2021-05-25,,4495,748983-2,parceiro,premium,14609.79,25707.89,true,false,false,false,2026-02-26
CTA000191,CLI000108,corrente,ativa,2021-02-10,,5346,365536-3,gerente,basico,21292.65,35255.42,true,true,false,false,2026-01-27
CTA000192,CLI000108,corrente,bloqueada,2021-06-25,,3226,349315-2,parceiro,basico,37919.01,16307.96,true,true,false,false,2026-03-18
CTA000193,CLI000109,investimento,encerrada,2024-10-04,2026-07-15,4954,853497-0,agencia,isento,463040.79,66919.23,false,false,false,true,2026-07-15
CTA000194,CLI000109,corrente,encerrada,2024-12-01,2025-11-09,1936,904602-3,gerente,basico,25906.50,55315.11,true,true,false,false,2025-11-09
CTA000195,CLI000110,pj,ativa,2026-12-04,,1928,347589-3,parceiro,premium,102810.76,76987.39,true,false,false,false,2026-02-28
CTA000196,CLI000110,corrente,encerrada,2026-12-13,2029-03-16,1717,262637-7,parceiro,basico,40877.30,93107.08,true,false,false,false,2029-03-16
CTA000197,CLI000110,corrente,encerrada,2026-11-12,2029-04-03,7345,471834-1,parceiro,basico,67565.32,55556.31,true,true,false,false,2029-04-03
CTA000198,CLI000111,corrente,ativa,2022-09-21,,9263,785650-3,parceiro,basico,5112.55,11474.68,true,false,false,false,2026-02-17
