cliente_id,nome_completo,sexo,data_nascimento,idade,estado_civil,uf,cidade,renda_mensal,patrimonio_estimado,segmento,escolaridade,profissao,score_relacionamento,perfil_investidor,data_cadastro,canal_aquisicao,cliente_ativo,possui_app_ativo,aceita_ofertas_marketing
CLI000027,Gustavo Araujo Santos,masculino,1984-10-13,41,divorciado,RJ,Rio de Janeiro,84225.08,4347577.24,private,pos_graduacao,medico,75,arrojado,2021-03-19,parceria,true,true,true
CLI000028,Juliana Ferreira,feminino,1960-07-09,65,casado,SP,Santos,13907.24,313652.50,empreendedor,superior_completo,engenheiro_de_software,47,moderado,2026-06-10,agencia,false,false,false
CLI000029,Juliana Ferreira Almeida,feminino,1992-03-28,34,viuvo,PR,Curitiba,62082.10,1550921.42,alta_renda,pos_graduacao,dentista,79,conservador,2022-10-20,parceria,true,true,false
CLI000030,Larissa Rodrigues,feminino,1977-03-18,49,viuvo,PE,Recife,13476.65,548967.15,varejo,superior_completo,advogado,68,conservador,2023-07-10,indicacao,true,true,false
CLI000031,Henrique Pereira,masculino,1975-01-18,51,divorciado,BA,Feira de Santana,31894.33,367890.05,alta_renda,superior_completo,advogado,68,moderado,2020-04-05,digital,true,true,true
CLI000032,Camila Araujo,feminino,1964-09-15,61,viuvo,SP,Sao Paulo,14808.18,131778.40,varejo,superior_completo,economista,62,conservador,2018-01-21,digital,true,false,false
CLI000033,Rafaela Martins Santos,feminino,1980-11-01,45,casado,PR,Londrina,40375.99,788363.80,alta_renda,superior_completo,contador,71,conservador,2023-09-09,parceria,true,true,false
CLI000034,Pedro Lima Silva,masculino,1970-03-10,56,divorciado,SP,Campinas,64526.08,1425643.82,alta_renda,superior_completo,empresario,75,conservador,2019-01-25,indicacao,true,true,true
CLI000035,Beatriz Silva Teixeira,feminino,1993-07-19,32,viuvo,RJ,Rio de Janeiro,3840.92,139996.74,varejo,superior_completo,contador,63,arrojado,2019-12-15,parceria,true,true,true
CLI000036,Rafaela Souza,feminino,1997-02-21,29,viuvo,DF,Brasilia,21383.12,734715.79,alta_renda,superior_completo,analista_financeiro,55,moderado,2020-12-03,parceria,true,false,false
CLI000037,Juliana Souza Santos,feminino,1985-07-18,40,viuvo,SP,Campinas,13525.82,319000.97,alta_renda,superior_completo,engenheiro_de_software,81,conservador,2021-01-18,agencia,true,true,true
CLI000038,William Araujo,masculino,1966-05-07,59,viuvo,SP,Sao Paulo,9478.00,133461.70,varejo,superior_completo,analista_financeiro,43,conservador,2018-04-22,parceria,false,true,false
CLI000039,Eduardo Moreira Ribeiro,masculino,1962-12-19,63,divorciado,MG,Uberlandia,43978.61,377397.09,alta_renda,pos_graduacao,medico,62,conservador,2024-01-18,digital,true,false,false
CLI000040,Rafaela Oliveira,feminino,2004-09-24,21,solteiro,GO,Goiania,59623.01,935591.47,alta_renda,pos_graduacao,medico,60,moderado,2022-05-11,parceria,true,true,true
CLI000041,Gustavo Souza Ferreira,masculino,1998-07-08,27,viuvo,PR,Curitiba,9799.63,106356.83,varejo,superior_completo,contador,51,conservador,2019-10-17,parceria,true,true,true
CLI000042,Vinicius Ribeiro,masculino,1987-08-02,38,divorciado,MG,Belo Horizonte,32362.00,863802.00,alta_renda,superior_completo,administrador,76,arrojado,2026-11-08,indicacao,true,true,true
CLI000043,Daniela Santos Martins,feminino,2000-02-18,26,solteiro,CE,Fortaleza,10988.19,177582.29,private,superior_completo,designer,85,moderado,2018-10-19,indicacao,true,true,false
CLI000044,Bianca Pereira Oliveira,feminino,1972-08-28,53,divorciado,SP,Santos,33625.91,958954.79,varejo,pos_graduacao,dentista,54,conservador,2023-04-23,parceria,true,false,false
CLI000045,Rafael Araujo,masculino,2004-08-07,21,solteiro,SP,Santos,3421.38,105307.14,varejo,medio_completo,autonomo,68,moderado,2018-12-23,indicacao,true,true,true
CLI000046,Leonardo Silva,masculino,1994-06-17,31,divorciado,SP,Sao Paulo,30445.30,639352.30,alta_renda,superior_completo,analista_financeiro,75,arrojado,2024-06-06,digital,true,true,true
CLI000047,Carlos Santos,masculino,2000-07-18,25,solteiro,RJ,Rio de Janeiro,23982.90,816852.67,alta_renda,superior_completo,advogado,70,moderado,2024-11-28,agencia,true,true,false
CLI000048,Vanessa Oliveira Moreira,feminino,1989-08-05,36,divorciado,PE,Recife,30899.07,922191.67,alta_renda,superior_completo,arquiteto,73,conservador,2022-03-15,agencia,true,true,true
CLI000049,Mariana Barbosa Souza,feminino,1985-12-14,40,solteiro,RJ,Rio de Janeiro,48780.27,760274.37,alta_renda,superior_completo,arquiteto,76,moderado,2022-01-23,digital,true,true,true
CLI000050,Henrique Silva,masculino,1957-06-04,68,solteiro,SP,Sao Paulo,34048.74,1035691.54,alta_renda,superior_completo,gerente_comercial,61,conservador,2026-09-23,digital,false,true,false
CLI000051,Gabriela Costa,feminino,1992-07-01,33,viuvo,SP,Sao Paulo,13477.62,470041.69,alta_renda,superior_completo,contador,52,conservador,2018-08-05,agencia,false,true,false
CLI000052,Bianca Rodrigues,feminino,1990-10-22,35,casado,GO,Goiania,18641.31,715863.33,alta_renda,superior_completo,empresario,55,arrojado,2021-10-08,digital,false,true,false
CLI000053,Gustavo Souza Silva,masculino,1973-05-01,52,casado,RJ,Rio de Janeiro,4208.93,80139.59,varejo,superior_completo,gerente_comercial,67,conservador,2026-09-16,parceria,true,true,true
CLI000054,Eduardo Araujo Silva,masculino,1971-05-10,54,viuvo,PE,Recife,5776.36,106433.87,empreendedor,superior_completo,contador,66,moderado,2024-11-13,digital,true,true,true
CLI000055,Rafael Martins,masculino,1999-11-13,26,solteiro,MG,Belo Horizonte,36795.11,1494211.54,alta_renda,superior_completo,advogado,76,moderado,2022-10-11,digital,true,true,true
CLI000056,Larissa Martins,feminino,1962-02-19,64,viuvo,RJ,Rio de Janeiro,28920.77,456928.05,alta_renda,superior_completo,gerente_comercial,45,conservador,2020-09-18,indicacao,false,false,false
CLI000057,Juliana Santos Almeida,feminino,1983-04-23,42,divorciado,DF,Brasilia,28870.14,516491.16,alta_renda,superior_completo,contador,72,moderado,2023-03-12,indicacao,true,true,true
CLI000058,Carlos Rodrigues,masculino,1963-10-27,62,viuvo,RJ,Rio de Janeiro,3781.39,99344.73,varejo,superior_completo,analista_financeiro,55,moderado,2024-10-09,digital,false,true,false
CLI000059,Vinicius Costa Nascimento,masculino,1971-03-23,55,viuvo,BA,Feira de Santana,37507.40,1460770.40,alta_renda,pos_graduacao,medico,73,conservador,2019-09-04,parceria,true,true,true
CLI000060,Rafael Gomes Santos,masculino,1967-07-02,58,casado,SP,Sao Paulo,29942.83,460438.90,alta_renda,superior_completo,designer,82,moderado,2024-04-01,agencia,true,true,true
CLI000061,Vinicius Gomes,masculino,1999-11-14,26,casado,PR,Curitiba,11788.26,265459.71,alta_renda,superior_completo,designer,64,arrojado,2023-05-18,digital,true,true,true
CLI000062,Pedro Santos,masculino,1961-06-17,64,divorciado,PE,Recife,5366.72,169724.42,varejo,superior_completo,designer,53,moderado,2021-04-24,digital,true,true,false
CLI000063,Rafael Lima Pereira,masculino,1954-06-08,71,solteiro,BA,Feira de Santana,27399.41,1292542.85,alta_renda,superior_completo,arquiteto,57,conservador,2020-04-18,digital,true,false,false
CLI000064,Gabriela Gomes Nascimento,feminino,1978-11-19,47,casado,CE,Fortaleza,19705.22,786309.02,alta_renda,superior_completo,contador,67,moderado,2025-10-18,agencia,true,true,false
CLI000065,Pedro Lima Pereira,masculino,1949-10-12,76,divorciado,PR,Curitiba,36905.70,1843569.71,alta_renda,superior_completo,empresario,62,conservador,2025-09-01,indicacao,true,true,false
CLI000066,Felipe Costa,masculino,1965-05-23,60,solteiro,RS,Porto Alegre,39721.59,518174.88,alta_renda,superior_completo,empresario,58,moderado,2018-11-21,indicacao,false,true,false
CLI000067,Adriana Moreira Ribeiro,feminino,1981-04-28,44,solteiro,SP,Sao Paulo,23568.97,883764.11,alta_renda,superior_completo,contador,76,conservador,2026-12-13,indicacao,true,true,false
CLI000068,Ana Souza,feminino,2000-04-03,25,solteiro,GO,Goiania,16263.60,698624.29,alta_renda,superior_completo,administrador,76,arrojado,2025-03-09,digital,true,true,true
CLI000069,Juliana Almeida,feminino,1969-11-26,56,divorciado,RJ,Niteroi,16104.63,598169.22,alta_renda,superior_completo,gerente_comercial,59,moderado,2022-04-08,parceria,false,true,false
CLI000070,Patricia Martins Barbosa,feminino,1949-09-11,76,casado,RJ,Rio de Janeiro,10638.64,123379.00,varejo,superior_completo,professor,58,moderado,2023-04-05,indicacao,true,true,true
CLI000071,Vanessa Ribeiro Oliveira,feminino,1960-10-04,65,viuvo,MG,Uberlandia,37640.22,996544.46,alta_renda,superior_completo,analista_financeiro,71,conservador,2024-01-21,digital,true,true,true
CLI000072,Rafael Teixeira,masculino,1969-08-10,56,solteiro,RS,Porto Alegre,10619.44,156647.23,varejo,superior_completo,analista_financeiro,51,conservador,2024-03-15,digital,true,false,false
CLI000073,Gabriela Souza,feminino,1962-05-23,63,viuvo,RS,Porto Alegre,13102.06,305614.79,varejo,superior_completo,administrador,71,conservador,2023-03-06,agencia,true,true,true
CLI000074,Vanessa Rodrigues Santos,feminino,1999-02-14,27,divorciado,BA,Salvador,22675.24,697866.11,alta_renda,superior_completo,advogado,68,arrojado,2025-12-10,agencia,true,false,false
CLI000075,Rafael Ferreira Oliveira,masculino,1999-02-06,27,casado,BA,Salvador,39071.20,2297893.11,alta_renda,superior_completo,engenheiro_de_software,83,arrojado,2019-07-23,parceria,true,true,false
CLI000076,Carlos Lima Moreira,masculino,1987-06-18,38,divorciado,RS,Caxias do Sul,9131.06,275055.13,varejo,medio_completo,autonomo,59,arrojado,2018-05-25,agencia,true,true,false
CLI000077,Patricia Martins,feminino,1948-04-10,77,viuvo,BA,Salvador,25173.88,232287.54,alta_renda,superior_completo,contador,71,conservador,2021-08-21,indicacao,true,false,false
CLI000078,Beatriz Costa Pereira,feminino,1992-01-16,34,solteiro,SP,Campinas,36188.04,1555996.38,alta_renda,superior_completo,advogado,58,moderado,2026-04-25,indicacao,false,true,false
CLI000079,Thiago Martins Pereira,masculino,1988-12-22,37,viuvo,SP,Campinas,9815.98,266697.23,empreendedor,superior_completo,designer,63,conservador,2021-04-21,parceria,true,true,true
CLI000080,Mariana Pereira Cardoso,feminino,1976-03-02,50,casado,GO,Goiania,7982.98,291931.17,empreendedor,superior_completo,professor,63,moderado,2025-03-23,agencia,true,true,true
CLI000081,Juliana Oliveira Souza,feminino,1991-04-25,34,divorciado,MG,Belo Horizonte,5649.10,215687.53,varejo,superior_completo,analista_financeiro,62,conservador,2018-07-27,agencia,true,true,true
CLI000082,Beatriz Ribeiro,feminino,1974-03-13,52,solteiro,DF,Brasilia,7814.76,176907.72,empreendedor,pos_graduacao,consultor,58,moderado,2022-03-08,digital,true,true,true
CLI000083,Juliana Moreira,feminino,1990-12-18,35,casado,DF,Brasilia,44675.91,471574.00,alta_renda,superior_completo,engenheiro_de_software,73,moderado,2019-08-22,indicacao,true,true,true
CLI000084,Juliana Gomes,feminino,1952-02-26,74,viuvo,MG,Uberlandia,10552.74,273017.88,varejo,superior_completo,empresario,53,conservador,2022-01-15,agencia,false,true,false
CLI000085,Felipe Lima Souza,masculino,1965-02-13,61,viuvo,RJ,Rio de Janeiro,11578.55,309269.55,varejo,superior_completo,designer,55,moderado,2020-09-22,parceria,true,false,false
CLI000086,Ana Pereira,feminino,1995-01-09,31,divorciado,SP,Santos,57050.82,1088638.08,alta_renda,pos_graduacao,medico,67,conservador,2026-10-05,indicacao,true,true,false
CLI000087,Mariana Araujo Martins,feminino,1963-08-01,62,divorciado,MG,Belo Horizonte,49007.11,1601793.33,alta_renda,superior_completo,gerente_comercial,51,conservador,2022-05-10,parceria,false,false,false
CLI000088,Rafaela Teixeira,feminino,1973-05-11,52,divorciado,MG,Belo Horizonte,7343.67,236658.12,varejo,superior_completo,advogado,31,moderado,2023-05-24,digital,false,true,false
CLI000089,Carlos Cardoso,masculino,1990-03-01,36,viuvo,GO,Goiania,22139.38,498722.49,varejo,pos_graduacao,dentista,72,moderado,2021-06-10,indicacao,true,true,true
CLI000090,Camila Lima Nascimento,feminino,1959-12-08,66,casado,BA,Salvador,43871.95,1382408.24,alta_renda,superior_completo,advogado,58,conservador,2024-05-04,parceria,false,true,false
CLI000091,William Rodrigues Pereira,masculino,1971-07-06,54,casado,PR,Curitiba,4019.38,99730.99,empreendedor,superior_completo,contador,52,moderado,2018-07-04,parceria,true,true,false
CLI000092,Adriana Martins,feminino,1949-10-21,76,solteiro,PR,Curitiba,9426.99,331690.77,empreendedor,superior_completo,economista,66,conservador,2024-07-16,agencia,true,true,true
CLI000093,Camila Ferreira Teixeira,feminino,1992-02-19,34,divorciado,MG,Belo Horizonte,7809.50,158759.21,varejo,superior_completo,analista_financeiro,54,moderado,2020-05-24,indicacao,true,true,false
CLI000094,Daniel Oliveira Silva,masculino,1959-02-15,67,viuvo,DF,Brasilia,31040.19,1251799.71,alta_renda,superior_completo,empresario,75,conservador,2025-04-17,indicacao,true,true,false
CLI000095,Claudia Gomes,feminino,1980-08-24,45,solteiro,PA,Belem,45148.40,841462.44,alta_renda,superior_completo,engenheiro_de_software,61,conservador,2020-10-03,agencia,false,true,false
CLI000096,Juliana Araujo Costa,feminino,2005-03-02,21,casado,MG,Belo Horizonte,44006.69,523439.27,alta_renda,superior_completo,engenheiro_de_software,78,arrojado,2020-02-28,indicacao,true,true,true
CLI000097,Daniela Ribeiro Ferreira,feminino,1976-05-12,49,viuvo,PE,Recife,24190.24,1180178.27,alta_renda,superior_completo,designer,52,conservador,2018-09-18,indicacao,false,false,false
CLI000098,Adriana Silva Costa,feminino,1962-06-27,63,divorciado,PR,Curitiba,8821.50,271475.67,varejo,superior_completo,empresario,58,conservador,2019-07-18,indicacao,true,false,false
CLI000099,Larissa Martins,feminino,1954-11-04,71,divorciado,PR,Curitiba,7618.59,266423.26,varejo,superior_completo,analista_financeiro,67,conservador,2018-04-12,indicacao,true,true,false
CLI000100,Henrique Oliveira Almeida,masculino,2001-02-05,25,divorciado,PR,Curitiba,36504.08,1358968.06,alta_renda,superior_completo,contador,76,moderado,2026-06-02,parceria,true,true,true
CLI000101,Mariana Costa Martins,feminino,1978-09-24,47,divorciado,CE,Fortaleza,31257.91,925942.25,alta_renda,superior_completo,economista,63,moderado,2025-01-13,indicacao,true,false,false
CLI000102,Camila Souza Souza,feminino,1975-11-11,50,casado,RJ,Rio de Janeiro,33240.95,932234.29,alta_renda,superior_completo,gerente_comercial,64,moderado,2020-02-03,parceria,true,true,true
CLI000103,Joao Pereira Ribeiro,masculino,1963-05-11,62,solteiro,PR,Curitiba,49509.19,1427971.50,alta_renda,superior_completo,engenheiro_de_software,69,moderado,2018-06-26,parceria,true,false,false
CLI000104,Mariana Araujo,feminino,1960-02-04,66,casado,RJ,Rio de Janeiro,21240.59,457869.03,alta_renda,pos_graduacao,consultor,66,conservador,2019-04-20,parceria,true,true,true
CLI000105,Gabriela Cardoso Cardoso,feminino,1957-03-12,69,casado,RJ,Rio de Janeiro,38313.69,1017888.82,alta_renda,superior_completo,arquiteto,76,moderado,2019-01-24,digital,true,true,true
CLI000106,Rafaela Santos Oliveira,feminino,1973-05-03,52,divorciado,PE,Recife,29792.85,1516458.59,alta_renda,superior_completo,contador,63,arrojado,2026-12-16,parceria,true,true,false
CLI000107,Beatriz Teixeira Silva,feminino,1953-12-09,72,viuvo,DF,Brasilia,46317.45,800244.26,alta_renda,pos_graduacao,medico,64,conservador,2021-10-27,parceria,true,true,false
CLI000108,Gabriela Barbosa,feminino,1985-03-17,41,divorciado,RS,Caxias do Sul,21570.07,597480.88,alta_renda,superior_completo,administrador,67,moderado,2021-01-12,indicacao,true,true,false
CLI000109,Felipe Santos Almeida,masculino,1990-02-28,36,divorciado,DF,Brasilia,31131.21,449475.49,alta_renda,pos_graduacao,dentista,70,conservador,2024-09-04,parceria,true,true,false
CLI000110,Marcelo Silva Teixeira,masculino,2004-04-08,21,casado,SP,Sao Paulo,44407.21,663590.44,alta_renda,pos_graduacao,dentista,50,moderado,2026-10-06,parceria,false,true,false
CLI000111,Henrique Almeida Silva,masculino,1963-11-22,62,viuvo,RJ,Rio de Janeiro,5441.80,64762.40,alta_renda,medio_completo,autonomo,73,moderado,2022-07-04,parceria,true,false,false
CLI000112,Camila Silva Costa,feminino,1997-06-14,28,divorciado,RJ,Rio de Janeiro,21690.01,675315.37,alta_renda,superior_completo,administrador,81,arrojado,2022-02-18,agencia,true,true,true
CLI000113,Matheus Carvalho Souza,masculino,1966-08-15,59,viuvo,DF,Brasilia,34401.01,1093169.77,alta_renda,superior_completo,administrador,72,moderado,2025-11-22,parceria,true,true,true
CLI000114,William Gomes,masculino,1969-09-06,56,solteiro,DF,Brasilia,29165.30,394948.89,alta_renda,pos_graduacao,dentista,72,conservador,2018-11-20,digital,true,true,true
CLI000115,Felipe Nascimento Teixeira,masculino,1977-09-08,48,solteiro,MG,Uberlandia,63988.71,671040.68,alta_renda,pos_graduacao,medico,80,conservador,2024-01-26,parceria,true,true,true
CLI000116,Gabriela Silva Costa,feminino,1990-04-10,35,solteiro,PR,Curitiba,30367.15,484284.66,alta_renda,superior_completo,gerente_comercial,67,conservador,2025-06-19,agencia,true,true,true
CLI000117,Bianca Silva Lima,feminino,2005-03-11,21,solteiro,AM,Manaus,28781.01,1068937.35,alta_renda,superior_completo,designer,59,moderado,2018-08-10,agencia,true,true,true
CLI000118,Gabriela Oliveira Santos,feminino,1990-02-14,36,viuvo,SP,Sao Paulo,13869.28,488210.29,alta_renda,superior_completo,arquiteto,71,conservador,2021-08-18,agencia,true,true,true
CLI000119,Pedro Ferreira Nascimento,masculino,1999-06-08,26,divorciado,PE,Recife,35114.21,874635.40,alta_renda,superior_completo,advogado,53,moderado,2021-07-14,parceria,false,true,false
CLI000120,Gustavo Ferreira,masculino,1971-09-09,54,viuvo,RJ,Rio de Janeiro,12635.89,82668.48,alta_renda,superior_completo,engenheiro_de_software,65,conservador,2019-01-15,digital,true,true,true
CLI000121,Daniela Moreira Souza,feminino,1951-07-28,74,casado,PA,Belem,44043.17,1456872.00,alta_renda,superior_completo,contador,78,conservador,2022-01-10,parceria,true,true,true
CLI000122,William Pereira Lima,masculino,1994-01-23,32,casado,CE,Fortaleza,10231.64,246370.21,varejo,superior_completo,advogado,49,conservador,2018-02-24,parceria,true,true,true
CLI000123,Mariana Costa Barbosa,feminino,1977-12-17,48,viuvo,PE,Recife,14888.21,159258.69,varejo,superior_completo,gerente_comercial,73,conservador,2022-10-06,agencia,true,true,true
CLI000124,Rafaela Moreira Souza,feminino,1962-02-05,64,solteiro,MG,Belo Horizonte,24631.37,736118.98,alta_renda,superior_completo,contador,74,conservador,2018-01-01,parceria,true,true,true
CLI000125,Daniel Souza Lima,masculino,1988-06-15,37,solteiro,CE,Fortaleza,14974.57,529380.63,varejo,superior_completo,arquiteto,49,moderado,2026-04-18,parceria,true,true,false
CLI000126,Beatriz Ferreira Almeida,feminino,2004-07-19,21,viuvo,PR,Curitiba,32294.07,1181615.89,alta_renda,superior_completo,advogado,74,moderado,2021-10-05,parceria,true,true,true
CLI000127,William Santos Carvalho,masculino,1950-04-24,75,solteiro,GO,Goiania,18050.89,668292.84,alta_renda,superior_completo,administrador,74,moderado,2022-10-06,indicacao,true,true,true
CLI000128,Daniela Lima Souza,feminino,1970-03-17,56,solteiro,AM,Manaus,3248.26,63497.08,varejo,superior_completo,professor,67,arrojado,2025-12-08,indicacao,true,true,true
CLI000129,Eduardo Rodrigues Silva,masculino,1951-08-04,74,divorciado,MG,Belo Horizonte,6624.82,188797.20,empreendedor,superior_completo,professor,56,conservador,2026-05-02,digital,true,false,false
CLI000130,Gabriela Oliveira Barbosa,feminino,1949-10-17,76,viuvo,PA,Belem,13983.86,513158.11,varejo,superior_completo,advogado,55,moderado,2021-06-12,parceria,true,false,false
CLI000131,Adriana Santos,feminino,2003-06-17,22,casado,MG,Belo Horizonte,40398.26,423270.66,alta_renda,superior_completo,arquiteto,55,arrojado,2021-11-22,digital,false,true,false
CLI000132,Daniel Araujo Pereira,masculino,1972-07-23,53,casado,RJ,Rio de Janeiro,19429.84,280710.16,alta_renda,medio_completo,autonomo,62,conservador,2020-04-17,parceria,true,true,true
CLI000133,Rafaela Costa,feminino,1996-12-06,29,viuvo,PA,Belem,26909.29,995081.82,alta_renda,superior_completo,designer,83,arrojado,2023-03-14,digital,true,true,true
CLI000134,Thiago Lima,masculino,1980-06-06,45,casado,RJ,Rio de Janeiro,44170.13,907258.96,alta_renda,superior_completo,arquiteto,69,conservador,2026-06-27,agencia,true,false,false
CLI000135,Bianca Pereira,feminino,1969-08-16,56,casado,PE,Recife,22828.71,753241.84,private,superior_completo,engenheiro_de_software,72,conservador,2020-05-18,digital,true,false,false
CLI000136,Gabriela Martins Ribeiro,feminino,1997-06-02,28,casado,MG,Belo Horizonte,48988.78,997499.99,alta_renda,pos_graduacao,dentista,69,moderado,2019-11-14,agencia,true,true,false
CLI000137,Pedro Souza Pereira,masculino,1986-07-15,39,divorciado,AM,Manaus,13996.59,438853.48,varejo,superior_completo,advogado,61,moderado,2019-10-21,agencia,true,true,true
CLI000138,Larissa Souza,feminino,1992-03-07,34,viuvo,RS,Caxias do Sul,6995.49,191127.83,varejo,superior_completo,professor,54,moderado,2021-05-23,indicacao,true,true,true
CLI000139,Rafael Nascimento,masculino,2000-08-26,25,casado,RJ,Niteroi,10219.96,206166.13,varejo,superior_completo,professor,60,arrojado,2018-07-13,parceria,true,true,true
CLI000140,Henrique Barbosa,masculino,1958-10-23,67,casado,BA,Salvador,6576.35,212296.51,varejo,pos_graduacao,dentista,69,moderado,2022-08-08,digital,true,true,true
CLI000141,Daniela Cardoso Costa,feminino,1978-11-08,47,solteiro,PA,Belem,26373.81,1406160.56,alta_renda,medio_completo,autonomo,62,moderado,2020-07-04,digital,true,true,false
CLI000142,Rafaela Silva Barbosa,feminino,1952-06-22,73,solteiro,SP,Sao Paulo,22550.47,831957.06,varejo,pos_graduacao,consultor,46,conservador,2025-11-20,agencia,true,false,false
CLI000143,Bianca Silva Cardoso,feminino,1950-09-08,75,divorciado,RJ,Niteroi,32619.31,701458.10,alta_renda,superior_completo,advogado,77,conservador,2023-06-09,agencia,true,true,true
CLI000144,Joao Barbosa Ribeiro,masculino,1950-05-28,75,divorciado,CE,Fortaleza,27178.94,399668.00,alta_renda,superior_completo,empresario,69,conservador,2023-11-25,indicacao,true,false,false
